# AI NARRATIVE: No recombination narrative could be generated.
Date/Time (UTC),"Type transcation(mixing,bridging)",TX Hash,From Wallet(Entity),To Wallet(Entity),To Receiver Entity,Amount,Transaction Type,Behavioral Cluster,Clustered address{root}ENTITY,Confidence,Transaction Attributions,Transaction intelligence
2026-05-07 14:26:21,NATIVE_TRANSFER,0xe763d37cbaaae6356fbe89bf069938e119eb31de9b0caae30e6694854e668c8b,0x6af020e554935023c6e0b6a958d38e1668bdc683 (Okx CEX),0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),Okx CEX,10.0000 MIRROR,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-08 14:55:47,NATIVE_TRANSFER,0xc3bdbca6048adde85a4f6e38d216c8e6530a95396d6ae7cbf17eaf02d429ab45,0x2c1b0346e4e5bef500e60f3608d69091b1b21525 (Okx CEX),0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),Okx CEX,20.0000 UGOR,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-08 15:03:31,NATIVE_TRANSFER,0x389ee028e0bcdd828b8e27e0abaa504ff93320f5c28d2a645ecdae1e160cec8f,0x8418f7a542f5f99d7fee8fee597a0085905b5f9c (Coinbase),0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),Okx CEX,69.0000 VERSA,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-08 15:14:55,NATIVE_TRANSFER,0x54d50428d177c702378f8144a35530ca2186f78b263eae50efa976b4ae39a8f6,0xc3131814de464747744d877fcb6abf2f82994754 (Okx CEX),0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),Okx CEX,10.0000 PENGU,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-09 23:24:41,NATIVE_TRANSFER,0x493d8c8ab1a2f88ce33f782c36919a39f8d21676ef85622cb4bd0d5ba063261c,0x6daa79dc6c4941f1df92e1197ae7b4db28b10495 (Coinbase),0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),Okx CEX,25.0000 WROC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-10 02:37:53,NATIVE_TRANSFER,0xa92e16a00c145c984018127958993182882b1831b823a92664a521248610af9a,0x888678c237b9dd5486f87e5bb89292b7484fe2df (Okx CEX),0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),Okx CEX,1.0000 FODR,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-11 03:58:53,NATIVE_TRANSFER,0xb5f0b525d2e39f9432d9787a5e9119de59e031b6738c4bd0ff54cf4f03daa3f9,0x85452ab9b43971cf96a9944061836ee35f3760cd (Coinbase),0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),Okx CEX,1.0000 TRUMP,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-26 20:22:59,NATIVE_TRANSFER,0x447ba79c670417c1a8a4c38746bb837d227e01a28b73a001a1925bebba8ff0d1,0xa04d713cbcebb925b4c12422a9ce5d99d4e50ba6 (Coinbase),0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),Okx CEX,10.0000 SXC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-26 21:47:45,NATIVE_TRANSFER,0xe0e48ec699276be582958e7fb177b23fc114f936bc5a4551db1629b57ad00efa,0xefa7212a9124e8d861369dd9de759873e40bc9b0 (Coinbase),0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),Okx CEX,1.0000 GENESIS,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-26 22:02:39,NATIVE_TRANSFER,0x6c303db3bafc31bda8fa0a5866a33fa1e0b45467e8394635d0e619fefa2081e3,0x24a2a79313925bdafe3adc6c9308daf7cccf8c52 (Coinbase),0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),Okx CEX,8.0000 NATO,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-26 22:28:49,NATIVE_TRANSFER,0x60dd28e399e037a330668505ec9c703148501d8b535c21ba7f6a819c87792713,0xd419a65d9a941d83cd9a7c51ab612606a5d6e34f (Okx CEX),0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),Okx CEX,10.0000 GOAL,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
